,year,price,total_run,tax,engineSize,mileage_lit,model_ I10,model_ I20,model_ I30,model_ I40,model_ I800,model_ IX20,model_ IX35,model_ Ioniq,model_ Kona,model_ Santa Fe,model_ Tucson,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fule_Diesel,fule_Hybrid,fule_Petrol
235,2015,13998,54963,200,2.2,12.23,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
236,2016,11998,35224,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
237,2017,8995,19229,145,1.0,16.59,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
238,2013,12245,72854,260,2.2,10.96,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
239,2016,18295,22404,235,2.2,11.15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
240,2018,12998,7910,145,1.0,13.82,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
241,2014,7298,71289,145,1.7,14.08,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
242,2013,3998,45461,30,1.2,15.22,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
243,2016,11998,40457,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
244,2019,15498,23773,145,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
245,2019,14298,5034,145,1.0,11.65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
246,2016,15798,35030,145,2.0,14.34,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
247,2017,14498,19400,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
248,2016,8998,28560,160,1.4,11.15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
249,2016,12298,35153,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
250,2017,8298,18047,30,1.2,14.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
251,2017,13498,35003,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
252,2019,15498,11757,145,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
253,2016,9698,38259,30,1.7,17.36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
254,2017,12998,40262,145,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
255,2018,17298,19348,135,1.6,20.74,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
256,2017,12398,12239,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
257,2016,13998,30551,125,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
258,2015,6498,40237,0,1.6,20.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
259,2019,15498,11915,150,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
260,2017,6498,37254,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
261,2016,14698,13254,145,2.0,14.34,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
262,2016,7998,20760,125,1.4,13.31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
263,2017,15698,7015,145,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
264,2018,12698,14183,145,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
265,2015,10298,69085,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
266,2014,7498,51515,30,1.7,16.59,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
267,2016,12498,15959,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
268,2019,14298,10757,145,1.0,11.65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
269,2019,14298,9829,145,1.0,11.65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
270,2018,15998,37324,145,2.5,7.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
271,2018,11298,14655,145,1.0,14.93,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
272,2018,8998,20596,145,1.0,15.24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
273,2018,11998,12486,145,1.6,19.63,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
274,2014,4998,43444,30,1.2,15.22,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
275,2017,14498,37587,145,2.0,14.34,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
276,2017,13998,23643,145,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
277,2017,14998,13094,125,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
278,2018,15500,4411,145,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
279,2019,15498,10,145,1.0,11.65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
280,2013,6998,80465,145,1.7,14.08,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
281,2019,15498,17948,145,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
282,2019,15498,10,145,1.0,11.65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
283,2019,14998,3292,145,1.4,10.96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
284,2016,11698,29051,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
